indicator,date,rate
open,2022-11-03 16:01:00,25.32
high,2022-11-03 16:01:00,25.32
low,2022-11-03 16:01:00,25.32
close,2022-11-03 16:01:00,25.32
open,2022-11-03 16:00:00,25.29
high,2022-11-03 16:00:00,25.32
low,2022-11-03 16:00:00,25.29
close,2022-11-03 16:00:00,25.32
open,2022-11-03 15:59:00,25.3
high,2022-11-03 15:59:00,25.3
low,2022-11-03 15:59:00,25.29
close,2022-11-03 15:59:00,25.295
open,2022-11-03 15:58:00,25.305
high,2022-11-03 15:58:00,25.305
low,2022-11-03 15:58:00,25.29
close,2022-11-03 15:58:00,25.295
open,2022-11-03 15:57:00,25.305
high,2022-11-03 15:57:00,25.31
low,2022-11-03 15:57:00,25.3
close,2022-11-03 15:57:00,25.305
open,2022-11-03 15:56:00,25.305
high,2022-11-03 15:56:00,25.305
low,2022-11-03 15:56:00,25.3
close,2022-11-03 15:56:00,25.3
open,2022-11-03 15:55:00,25.325
high,2022-11-03 15:55:00,25.325
low,2022-11-03 15:55:00,25.31
close,2022-11-03 15:55:00,25.31
open,2022-11-03 15:54:00,25.335
high,2022-11-03 15:54:00,25.335
low,2022-11-03 15:54:00,25.3211
close,2022-11-03 15:54:00,25.3211
open,2022-11-03 15:53:00,25.3201
high,2022-11-03 15:53:00,25.335
low,2022-11-03 15:53:00,25.3201
close,2022-11-03 15:53:00,25.33
open,2022-11-03 15:52:00,25.33
high,2022-11-03 15:52:00,25.33
low,2022-11-03 15:52:00,25.32
close,2022-11-03 15:52:00,25.32
open,2022-11-03 15:51:00,25.355
high,2022-11-03 15:51:00,25.355
low,2022-11-03 15:51:00,25.33
close,2022-11-03 15:51:00,25.335
open,2022-11-03 15:50:00,25.355
high,2022-11-03 15:50:00,25.36
low,2022-11-03 15:50:00,25.35
close,2022-11-03 15:50:00,25.35
open,2022-11-03 15:49:00,25.365
high,2022-11-03 15:49:00,25.365
low,2022-11-03 15:49:00,25.355
close,2022-11-03 15:49:00,25.355
open,2022-11-03 15:48:00,25.365
high,2022-11-03 15:48:00,25.365
low,2022-11-03 15:48:00,25.36
close,2022-11-03 15:48:00,25.365
open,2022-11-03 15:47:00,25.36
high,2022-11-03 15:47:00,25.365
low,2022-11-03 15:47:00,25.36
close,2022-11-03 15:47:00,25.365
open,2022-11-03 15:46:00,25.35
high,2022-11-03 15:46:00,25.36
low,2022-11-03 15:46:00,25.35
close,2022-11-03 15:46:00,25.36
open,2022-11-03 15:45:00,25.37
high,2022-11-03 15:45:00,25.37
low,2022-11-03 15:45:00,25.3501
close,2022-11-03 15:45:00,25.355
open,2022-11-03 15:44:00,25.375
high,2022-11-03 15:44:00,25.375
low,2022-11-03 15:44:00,25.37
close,2022-11-03 15:44:00,25.37
open,2022-11-03 15:43:00,25.375
high,2022-11-03 15:43:00,25.38
low,2022-11-03 15:43:00,25.37
close,2022-11-03 15:43:00,25.375
open,2022-11-03 15:42:00,25.375
high,2022-11-03 15:42:00,25.375
low,2022-11-03 15:42:00,25.375
close,2022-11-03 15:42:00,25.375
open,2022-11-03 15:41:00,25.3801
high,2022-11-03 15:41:00,25.3801
low,2022-11-03 15:41:00,25.3712
close,2022-11-03 15:41:00,25.3712
open,2022-11-03 15:40:00,25.385
high,2022-11-03 15:40:00,25.385
low,2022-11-03 15:40:00,25.38
close,2022-11-03 15:40:00,25.38
open,2022-11-03 15:39:00,25.39
high,2022-11-03 15:39:00,25.39
low,2022-11-03 15:39:00,25.38
close,2022-11-03 15:39:00,25.385
open,2022-11-03 15:38:00,25.39
high,2022-11-03 15:38:00,25.4012
low,2022-11-03 15:38:00,25.39
close,2022-11-03 15:38:00,25.401
open,2022-11-03 15:37:00,25.41
high,2022-11-03 15:37:00,25.41
low,2022-11-03 15:37:00,25.39
close,2022-11-03 15:37:00,25.39
open,2022-11-03 15:36:00,25.41
high,2022-11-03 15:36:00,25.415
low,2022-11-03 15:36:00,25.405
close,2022-11-03 15:36:00,25.415
open,2022-11-03 15:35:00,25.41
high,2022-11-03 15:35:00,25.41
low,2022-11-03 15:35:00,25.41
close,2022-11-03 15:35:00,25.41
open,2022-11-03 15:34:00,25.41
high,2022-11-03 15:34:00,25.41
low,2022-11-03 15:34:00,25.4
close,2022-11-03 15:34:00,25.41
open,2022-11-03 15:33:00,25.395
high,2022-11-03 15:33:00,25.405
low,2022-11-03 15:33:00,25.395
close,2022-11-03 15:33:00,25.405
open,2022-11-03 15:32:00,25.39
high,2022-11-03 15:32:00,25.4
low,2022-11-03 15:32:00,25.39
close,2022-11-03 15:32:00,25.4
open,2022-11-03 15:31:00,25.385
high,2022-11-03 15:31:00,25.39
low,2022-11-03 15:31:00,25.385
close,2022-11-03 15:31:00,25.39
open,2022-11-03 15:30:00,25.385
high,2022-11-03 15:30:00,25.385
low,2022-11-03 15:30:00,25.385
close,2022-11-03 15:30:00,25.385
open,2022-11-03 15:29:00,25.395
high,2022-11-03 15:29:00,25.4
low,2022-11-03 15:29:00,25.385
close,2022-11-03 15:29:00,25.39
open,2022-11-03 15:28:00,25.38
high,2022-11-03 15:28:00,25.39
low,2022-11-03 15:28:00,25.38
close,2022-11-03 15:28:00,25.39
open,2022-11-03 15:27:00,25.38
high,2022-11-03 15:27:00,25.38
low,2022-11-03 15:27:00,25.38
close,2022-11-03 15:27:00,25.38
open,2022-11-03 15:25:00,25.37
high,2022-11-03 15:25:00,25.38
low,2022-11-03 15:25:00,25.37
close,2022-11-03 15:25:00,25.38
open,2022-11-03 15:24:00,25.37
high,2022-11-03 15:24:00,25.37
low,2022-11-03 15:24:00,25.37
close,2022-11-03 15:24:00,25.37
open,2022-11-03 15:23:00,25.365
high,2022-11-03 15:23:00,25.37
low,2022-11-03 15:23:00,25.365
close,2022-11-03 15:23:00,25.37
open,2022-11-03 15:22:00,25.38
high,2022-11-03 15:22:00,25.38
low,2022-11-03 15:22:00,25.37
close,2022-11-03 15:22:00,25.37
open,2022-11-03 15:21:00,25.35
high,2022-11-03 15:21:00,25.37
low,2022-11-03 15:21:00,25.35
close,2022-11-03 15:21:00,25.365
open,2022-11-03 15:20:00,25.35
high,2022-11-03 15:20:00,25.35
low,2022-11-03 15:20:00,25.345
close,2022-11-03 15:20:00,25.345
open,2022-11-03 15:19:00,25.355
high,2022-11-03 15:19:00,25.355
low,2022-11-03 15:19:00,25.355
close,2022-11-03 15:19:00,25.355
open,2022-11-03 15:18:00,25.355
high,2022-11-03 15:18:00,25.355
low,2022-11-03 15:18:00,25.355
close,2022-11-03 15:18:00,25.355
open,2022-11-03 15:17:00,25.355
high,2022-11-03 15:17:00,25.355
low,2022-11-03 15:17:00,25.355
close,2022-11-03 15:17:00,25.355
open,2022-11-03 15:15:00,25.35
high,2022-11-03 15:15:00,25.35
low,2022-11-03 15:15:00,25.35
close,2022-11-03 15:15:00,25.35
open,2022-11-03 15:14:00,25.36
high,2022-11-03 15:14:00,25.36
low,2022-11-03 15:14:00,25.36
close,2022-11-03 15:14:00,25.36
open,2022-11-03 15:13:00,25.35
high,2022-11-03 15:13:00,25.365
low,2022-11-03 15:13:00,25.35
close,2022-11-03 15:13:00,25.36
open,2022-11-03 15:12:00,25.345
high,2022-11-03 15:12:00,25.347
low,2022-11-03 15:12:00,25.345
close,2022-11-03 15:12:00,25.347
open,2022-11-03 15:10:00,25.35
high,2022-11-03 15:10:00,25.35
low,2022-11-03 15:10:00,25.34
close,2022-11-03 15:10:00,25.34
open,2022-11-03 15:09:00,25.33
high,2022-11-03 15:09:00,25.35
low,2022-11-03 15:09:00,25.33
close,2022-11-03 15:09:00,25.35
